date,order_id,customer_id,product_id,quantity,rating
2024-12-23,5001,95,101,1,3
2024-12-23,5002,87,101,1,5
2024-12-23,5003,70,101,1,3
2024-12-23,5004,76,101,1,4
2024-12-23,5005,5,101,1,3
2024-12-23,5006,12,101,1,3
2024-12-23,5007,30,102,1,5
2024-12-23,5007,30,101,1,4
2024-12-23,5008,72,102,1,3
2024-12-23,5008,72,101,1,4
2024-12-23,5009,90,102,1,5
2024-12-23,5009,90,101,1,4
2024-12-23,5010,58,102,1,5
2024-12-23,5010,58,101,1,4
2024-12-23,5011,1,102,1,3
2024-12-23,5011,1,101,1,4
2024-12-23,5012,44,102,1,4
2024-12-23,5012,44,101,1,4
2024-12-23,5013,98,102,1,4
2024-12-23,5013,98,101,1,4
2024-12-23,5014,49,103,1,3
2024-12-23,5015,46,104,1,4
2024-12-23,5016,78,104,1,4
2024-12-23,5017,6,105,1,5
2024-12-24,5018,59,101,1,5
2024-12-24,5019,16,101,1,4
2024-12-24,5020,11,101,1,5
2024-12-24,5021,38,101,1,5
2024-12-24,5022,80,101,1,4
2024-12-24,5023,74,101,1,3
2024-12-24,5024,91,102,1,3
2024-12-24,5024,91,101,1,4
2024-12-24,5025,30,102,1,4
2024-12-24,5026,30,102,1,3
2024-12-24,5026,30,101,1,4
2024-12-24,5027,59,102,1,5
2024-12-24,5028,21,102,1,4
2024-12-24,5028,21,101,1,4
2024-12-24,5029,86,102,1,4
2024-12-24,5029,86,101,1,4
2024-12-24,5030,88,102,1,5
2024-12-24,5030,88,101,1,4
2024-12-24,5031,82,102,1,3
2024-12-24,5031,82,101,1,4
2024-12-24,5032,32,103,1,3
2024-12-24,5033,60,104,1,4
2024-12-24,5034,35,104,1,5
2024-12-24,5035,89,104,1,5
2024-12-24,5036,29,105,1,5
2024-12-24,5037,42,105,1,3
2024-12-24,5038,30,106,1,3
2024-12-24,5039,52,107,1,4
2024-12-24,5039,52,104,1,5
2024-12-24,5040,73,107,1,5
2024-12-24,5040,73,104,1,5
2024-12-24,5041,84,108,1,4
2024-12-25,5042,51,101,1,5
2024-12-25,5043,59,101,1,3
2024-12-25,5044,34,101,1,3
2024-12-25,5045,32,101,1,5
2024-12-25,5046,72,102,1,5
2024-12-25,5046,72,101,1,4
2024-12-25,5047,75,102,1,4
2024-12-25,5048,52,102,1,4
2024-12-25,5048,52,101,1,4
2024-12-25,5049,18,102,1,5
2024-12-25,5049,18,101,1,4
2024-12-25,5050,97,102,1,3
2024-12-25,5051,20,102,1,5
2024-12-25,5051,20,101,1,4
2024-12-25,5052,88,102,1,4
